DEBUG 2014-05-07 15:08:03,475 Content-Type is not text/tml(application/vnd.ms-excel)
INFO 2014-05-07 15:08:03,477 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=70
INFO 2014-05-07 15:08:05,570 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=71
INFO 2014-05-07 15:08:08,627 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=72
INFO 2014-05-07 15:08:08,746 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=73
INFO 2014-05-07 15:08:09,453 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=74
INFO 2014-05-07 15:08:10,651 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10386
INFO 2014-05-07 15:08:11,416 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10383
INFO 2014-05-07 15:08:12,511 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10381
INFO 2014-05-07 15:08:13,414 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10374
INFO 2014-05-07 15:08:14,427 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10364
INFO 2014-05-07 15:08:15,680 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10361
INFO 2014-05-07 15:08:16,442 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10358
INFO 2014-05-07 15:08:16,823 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10356
INFO 2014-05-07 15:08:17,729 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10355
INFO 2014-05-07 15:08:18,085 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10363
INFO 2014-05-07 15:08:19,534 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10329
INFO 2014-05-07 15:08:20,485 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10328
INFO 2014-05-07 15:08:22,461 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10320
INFO 2014-05-07 15:08:22,494 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10272
INFO 2014-05-07 15:08:22,520 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10262
INFO 2014-05-07 15:08:22,521 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10390
INFO 2014-05-07 15:08:22,537 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10388
INFO 2014-05-07 15:08:23,133 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10387
INFO 2014-05-07 15:08:24,239 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10382
INFO 2014-05-07 15:08:25,221 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=46
INFO 2014-05-07 15:08:27,311 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10370
INFO 2014-05-07 15:08:27,502 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10362
INFO 2014-05-07 15:08:27,537 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10360
INFO 2014-05-07 15:08:29,404 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10327
